Артикул,Артикул Каспи,Название,Ссылка,Статус,NTIN,Город,Цена,Цена 1 места,Цена закупа,Автоснижение,Мин.цена,Автоповышение,Макс.цена,Шаг демпинга,Позиция,Остатки,Предзаказ
113158798_114263861,113158798,"Муфта для рук для коляски, для санок YOYA Hand muff черный",https://kaspi.kz/shop/p/mufta-dlja-ruk-dlja-koljaski-dlja-sanok-yoya-hand-muff-chernyi-113158798/,Снято с продажи,,Астана,2300,3011,0,0,3000,0,0,0,0,0,0
108388077_8569546,108388077,"Накладка на углы All the Baby 579953, 1 шт, каучук, EVA, белый",https://kaspi.kz/shop/p/nakladka-na-ugly-all-the-baby-579953-1-sht-kauchuk-eva-belyi-108388077/,Опубликовано,,Астана,1899,1831,0,0,1500,0,2000,0,0,0,0
114054949_8596463,114054949,Букет из сухоцветов 42 см,https://kaspi.kz/shop/p/buket-iz-suhotsvetov-42-sm-114054949/,Снято с продажи,,Астана,2900,2499,0,0,3286,0,0,0,0,0,0
104757950_012951978,104757950,Skyway органайзер 172 черный,https://kaspi.kz/shop/p/skyway-organaizer-172-chernyi-104757950/,Снято с продажи,,Астана,946,946,0,1,844,1,0,0,0,0,0
129103511_688131779,129103511,18496068_171700000 утюжок,https://kaspi.kz/shop/p/18496068-171700000-utjuzhok-129103511/,Снято с продажи,,Астана,3999,0,0,1,0,1,0,0,0,0,0
129402610_796610758,129402610,30294842_KZ1-JFLTZ-GREEN,https://kaspi.kz/shop/p/30294842-kz1-jfltz-green-129402610/,Снято с продажи,,Астана,6145,6976,0,0,0,0,0,0,0,0,0
138361762_84561132123,138361762,"Декоративный светильник Факел Minecraft, пластик",https://kaspi.kz/shop/p/dekorativnyi-svetil-nik-fakel-minecraft-plastik-138361762/,Снято с продажи,,Астана,2497,1894,0,1,2100,1,0,0,0,0,0
104440958_8451256841,108017817,"Ночник детский факел майнкрафт (Minecraft) 5458, пластик",https://kaspi.kz/shop/p/nochnik-detskii-fakel-mainkraft-minecraft-5458-plastik-108017817/,Снято с продажи,,Астана,2100,1943,0,1,2100,1,0,0,0,0,0
103477046_123746465,103477046,"Oakmanor подсвечник Базовая коллекция 100447, металл",https://kaspi.kz/shop/p/oakmanor-podsvechnik-bazovaja-kollektsija-100447-metall-103477046/,Снято с продажи,,Астана,2500,0,0,0,0,0,0,0,0,0,0
106256078_329837287,106256078,AVTO-J органайзер AJORG113 серый,https://kaspi.kz/shop/p/avto-j-organaizer-ajorg113-seryi-106256078/,Опубликовано,,Астана,2387,1889,0,0,900,0,0,0,0,0,0
107450439_362684511,107450439,"Подсвечник Классика Классика, металл, нержавеющая сталь",https://kaspi.kz/shop/p/podsvechnik-klassika-klassika-metall-nerzhavejuschaja-stal--107450439/,Снято с продажи,,Астана,2500,0,0,0,0,0,0,0,0,0,0
104440958_8745125613,104440958,"HuanLV ночник детский Светильник Minecraft факел желтый, пластик",https://kaspi.kz/shop/p/huanlv-nochnik-detskii-svetil-nik-minecraft-fakel-zheltyi-plastik-104440958/,Снято с продажи,,Астана,2100,1913,0,1,2100,1,0,0,0,0,0
115915862_45683215,115915862,"Щетка паровая 01233 коричневый, бежевый",https://kaspi.kz/shop/p/schetka-parovaja-01233-korichnevyi-bezhevyi-115915862/,Снято с продажи,,Астана,599,599,0,1,599,1,0,0,0,0,0
119220282_1356487956317,109135629,Старательский лоток BP-15 для промывки золота,https://kaspi.kz/shop/p/staratel-skii-lotok-bp-15-dlja-promyvki-zolota-109135629/,Снято с продажи,,Астана,2400,1398,0,0,1400,0,0,0,0,0,0
111969621_723832155,111969621,Сумка для сменной обуви ART1074 5 л черный,https://kaspi.kz/shop/p/sumka-dlja-smennoi-obuvi-art1074-5-l-chernyi-111969621/,Снято с продажи,,Астана,720,1088,0,0,800,0,0,0,0,0,0
102010547_542249025,102010547,"Ballux Home подсвечник Базовая коллекция 43, металл",https://kaspi.kz/shop/p/ballux-home-podsvechnik-bazovaja-kollektsija-43-metall-102010547/,Снято с продажи,,Астана,2500,0,0,0,0,0,0,0,0,0,0
118042236_875070143,118042236,S6607 утюжок,https://kaspi.kz/shop/p/s6607-utjuzhok-118042236/,Снято с продажи,,Астана,3933,3934,0,1,0,1,0,0,0,0,0
110644491_8541311313,110644491,Сейф для ключей Зенетар кодовый механический замок (90х115х40 мм),https://kaspi.kz/shop/p/seif-dlja-kljuchei-zenetar-kodovyi-mehanicheskii-zamok-90h115h40-mm--110644491/,Опубликовано,,Астана,1300,1249,0,0,1200,0,0,0,0,0,0
123582478_89456184651,123582478,"Ночник в розетку Warm White, пластик",https://kaspi.kz/shop/p/nochnik-v-rozetku-warm-white-plastik-123582478/,Опубликовано,,Астана,618,687,0,0,622,0,0,0,0,0,0
112904295_723832155,112904295,580460,https://kaspi.kz/shop/p/580460-112904295/,Снято с продажи,,Астана,720,748,0,0,750,0,0,0,0,0,0
113239028_845156412,113239028,мини сейф металлический,https://kaspi.kz/shop/p/mini-seif-metallicheskii-113239028/,Снято с продажи,,Астана,2949,2950,0,1,2800,1,0,0,0,0,0
118596907_2223568,118596907,Салфетка от запотевания линз,https://kaspi.kz/shop/p/salfetka-ot-zapotevanija-linz-118596907/,Опубликовано,,Астана,532,694,0,0,725,0,0,0,0,0,0
110041670_123191552,110041670,Тент ORD-0000006145 M серебристый,https://kaspi.kz/shop/p/tent-ord-0000006145-m-serebristyi-110041670/,Снято с продажи,,Астана,1998,1499,0,1,1700,1,0,0,0,0,0
121005678_1235863,121005678,Органайзер Grey66 серый 1 шт,https://kaspi.kz/shop/p/organaizer-grey66-seryi-1-sht-121005678/,Снято с продажи,,Астана,2250,2228,0,1,2250,1,0,0,0,0,0
121010455_64512313,121010455,Сейф D640-0002 кодовый механический замок (90х120х40 мм),https://kaspi.kz/shop/p/seif-d640-0002-kodovyi-mehanicheskii-zamok-90h120h40-mm--121010455/,Снято с продажи,,Астана,2675,2671,0,1,1900,1,0,0,0,0,0
108254144_4835708590,108254144,"766609, пластик, металл, силикон",https://kaspi.kz/shop/p/766609-plastik-metall-silikon-108254144/,Снято с продажи,,Астана,2700,2896,0,0,2950,0,0,0,4,0,0
117473868_542998498,117473868,Accessories наклейка Toyota 9x9 см,https://kaspi.kz/shop/p/accessories-nakleika-toyota-9x9-sm-117473868/,Снято с продажи,,Астана,650,620,0,0,650,0,0,0,0,0,0
112899949_4548631231,112899949,Диспенсер для жидкого мыла 276727,https://kaspi.kz/shop/p/dispenser-dlja-zhidkogo-myla-276727-112899949/,Снято с продажи,,Астана,1498,1664,0,0,1600,0,0,0,0,0,0
112479812_435864402,112479812,Ролик голубой,https://kaspi.kz/shop/p/rolik-goluboi-112479812/,Снято с продажи,,Астана,3600,3535,0,1,3600,1,0,0,0,0,0
128696225_756165865,128696225,Муфта для рук для коляски KZ1-BNST-GRAY серый,https://kaspi.kz/shop/p/mufta-dlja-ruk-dlja-koljaski-kz1-bnst-gray-seryi-128696225/,Снято с продажи,,Астана,3104,3500,0,1,3000,1,0,0,0,0,0
113902340_318112885,113902340,CARPASS D1256 черный,https://kaspi.kz/shop/p/carpass-d1256-chernyi-113902340/,Снято с продажи,,Астана,3388,3385,0,0,2800,0,0,0,0,0,0
11779264744,108859895,"Ножницы кухонные N17492 1 шт, нержавеющая сталь, пластик",https://kaspi.kz/shop/p/nozhnitsy-kuhonnye-n17492-1-sht-nerzhavejuschaja-stal-plastik-108859895/,Снято с продажи,,Астана,510,546,0,1,549,1,0,0,0,0,0
119805761_593072707,119805761,"Вешалка 257698688 черный, серебристый 1 шт",https://kaspi.kz/shop/p/veshalka-257698688-chernyi-serebristyi-1-sht-119805761/,Опубликовано,,Астана,2896,2990,0,0,2481,0,0,0,0,0,0
120405666_252897457,120405666,"Держатель туалетной бумаги белый П26904 Sanflor с полочкой, металл",https://kaspi.kz/shop/p/derzhatel-tualetnoi-bumagi-belyi-p26904-sanflor-s-polochkoi-metall-120405666/,Опубликовано,,Астана,1800,1782,0,0,1200,0,0,0,0,0,0
117473829_834474766,117473829,Accessories наклейка Hyundai 9x9 см,https://kaspi.kz/shop/p/accessories-nakleika-hyundai-9x9-sm-117473829/,Опубликовано,,Астана,629,599,0,0,600,0,0,0,0,0,0
118551627_502195022,118551627,Подсветка 452271891,https://kaspi.kz/shop/p/podsvetka-452271891-118551627/,Снято с продажи,,Астана,2091,2594,0,1,2400,1,0,0,0,0,0
114223613_958865368,114223613,Chevrolet чехол Chevrolet Cobalt черный,https://kaspi.kz/shop/p/chevrolet-chehol-chevrolet-cobalt-chernyi-114223613/,Опубликовано,,Астана,2015,2993,0,0,1300,0,0,0,0,0,0
115608770_09879238,115608770,Жидкое средство АналогM17D 0.5 л,https://kaspi.kz/shop/p/zhidkoe-sredstvo-analogm17d-0-5-l-115608770/,Снято с продажи,,Алматы,1700,0,0,0,0,0,0,0,0,0,0
108206287_863132183,108206287,Zampa коврик под туалет черный,https://kaspi.kz/shop/p/zampa-kovrik-pod-tualet-chernyi-108206287/,Снято с продажи,,Астана,1500,2324,0,0,1570,0,0,0,0,0,0
117587765_664251618,117587765,Подсветка 228381184,https://kaspi.kz/shop/p/podsvetka-228381184-117587765/,Снято с продажи,,Астана,2275,2399,0,1,2289,1,0,0,0,0,0
109268240_454683213,109268240,"Держатель для фена с клейкой основой 8754 1 шт, черный, металл",https://kaspi.kz/shop/p/derzhatel-dlja-fena-s-kleikoi-osnovoi-8754-1-sht-chernyi-metall-109268240/,Опубликовано,,Астана,639,1399,0,0,600,0,0,0,0,0,0
122032188_390431806,122032188,"Держатель 30105439_472368978, пластик",https://kaspi.kz/shop/p/derzhatel-30105439-472368978-plastik-122032188/,Снято с продажи,,Астана,829,2389,0,1,450,0,0,0,0,0,0
114957160_12354923,114957160,"Wedo 2.0 30114226_566710, деталей 280 шт",https://kaspi.kz/shop/p/wedo-2-0-30114226-566710-detalei-280-sht-114957160/,Снято с продажи,,Астана,9200,9397,0,0,11000,0,0,0,0,0,0
122413132_076289862,122413132,Светодиодный дисплей 277184467,https://kaspi.kz/shop/p/svetodiodnyi-displei-277184467-122413132/,Снято с продажи,,Астана,6359,6360,0,1,2800,1,0,0,0,0,0
112195203_391580318,112195203,Чехол Chevrolet Cobalt черный,https://kaspi.kz/shop/p/chehol-chevrolet-cobalt-chernyi-112195203/,Опубликовано,,Астана,2015,1300,0,0,1300,0,0,0,0,0,0
112806580_84561215631,112806580,Коврик Коврик в палатку 200x200 см,https://kaspi.kz/shop/p/kovrik-kovrik-v-palatku-200x200-sm-112806580/,Снято с продажи,,Астана,2000,1280,0,0,2105,0,0,0,5,0,0
129878093_7845115311,129878093,"Автомобильное зарядное устройство 120W 4 in 1 Lightning, USB, USB Type-C серый",https://kaspi.kz/shop/p/avtomobil-noe-zarjadnoe-ustroistvo-120w-4-in-1-lightning-usb-usb-type-c-seryi-129878093/,Снято с продажи,,Астана,2200,1898,0,0,2320,0,0,0,0,0,0
109937431_7889000882,109937431,Вешалка 160262-1 черный 1 шт,https://kaspi.kz/shop/p/veshalka-160262-1-chernyi-1-sht-109937431/,Опубликовано,,Астана,2900,2991,0,0,2800,0,0,0,0,0,0
120150735_123698756,120150735,"Клеенка Рулон силиконовый 150x45 см, силикон",https://kaspi.kz/shop/p/kleenka-rulon-silikonovyi-150x45-sm-silikon-120150735/,Снято с продажи,,Астана,650,739,0,0,717,0,0,0,0,0,0
107519829_157896541,107519829,"Клеенка 0124325 150x45 см, силикон",https://kaspi.kz/shop/p/kleenka-0124325-150x45-sm-silikon-107519829/,Снято с продажи,,Астана,650,748,0,0,717,0,0,0,0,0,0
107401301_029993052,107401301,Органайзер 099 черный,https://kaspi.kz/shop/p/organaizer-099-chernyi-107401301/,Опубликовано,,Астана,2898,3165,0,0,2963,0,0,0,0,0,0
104176340_8415532123,104176340,Wellamart термометр электронный TM-001 1 шт,https://kaspi.kz/shop/p/wellamart-termometr-elektronnyi-tm-001-1-sht-104176340/,Опубликовано,,Астана,608,687,0,0,505,0,0,0,0,0,0
107223083_517324232,107223083,"Подсвечник Базовая коллекция BCH2, металл",https://kaspi.kz/shop/p/podsvechnik-bazovaja-kollektsija-bch2-metall-107223083/,Снято с продажи,,Астана,2795,0,0,0,0,0,0,0,0,0,0
120002781_845184651,120002781,"Подушка Ортопедическая подушка из латекса для новорожденных латекс, хлопок, 26x28 см",https://kaspi.kz/shop/p/podushka-ortopedicheskaja-podushka-iz-lateksa-dlja-novorozhdennyh-lateks-hlopok-26x28-sm-120002781/,Опубликовано,,Астана,1794,1633,0,0,1800,0,0,0,0,0,0
107647651_135648795,107647651,Кофр 267571 серый 1 шт,https://kaspi.kz/shop/p/kofr-267571-seryi-1-sht-107647651/,Снято с продажи,,Астана,2700,3093,0,1,2231,1,0,0,0,0,0
114800921_084111191,114800921,"Ароматическая свеча Лаванда 747SAL 6 см, 1 шт",https://kaspi.kz/shop/p/aromaticheskaja-svecha-lavanda-747sal-6-sm-1-sht-114800921/,Снято с продажи,,Астана,530,500,0,1,450,1,0,0,0,0,0
128883364_1235486,128883364,Влажные салфетки Cleaninig 10 шт,https://kaspi.kz/shop/p/vlazhnye-salfetki-cleaninig-10-sht-128883364/,Снято с продажи,,Астана,799,750,0,1,650,1,0,0,0,0,0
110575786_612715950,110575786,Набор 937201 9 шт,https://kaspi.kz/shop/p/nabor-937201-9-sht-110575786/,Снято с продажи,,Астана,3898,3833,0,1,3850,1,0,0,0,0,0
113334153_ 962933317,113334153,"Щетка 232231 белый, красный",https://kaspi.kz/shop/p/schetka-232231-belyi-krasnyi-113334153/,Опубликовано,,Астана,1450,1450,0,0,1100,0,0,0,0,0,0
122464164_1235496654,122464164,"Разделочная доска Базовая коллекция SUS-316 1 шт, нержавеющая сталь",https://kaspi.kz/shop/p/razdelochnaja-doska-bazovaja-kollektsija-sus-316-1-sht-nerzhavejuschaja-stal--122464164/,Опубликовано,,Астана,2075,2849,0,0,3200,0,0,0,0,0,0
118215266_845016436,118215266,Разделитель для ящиков 16930Q белый 2 шт,https://kaspi.kz/shop/p/razdelitel-dlja-jaschikov-16930q-belyi-2-sht-118215266/,Снято с продажи,,Астана,4300,4300,0,0,0,0,0,0,0,0,0
133877090_500866383,133877090,Разделитель для ящиков 30328992_m310 белый 4 шт,https://kaspi.kz/shop/p/razdelitel-dlja-jaschikov-30328992-m310-belyi-4-sht-133877090/,Снято с продажи,,Астана,11499,11500,0,1,0,1,0,0,0,0,0
118389063_8645143123,118389063,Массажер пластик,https://kaspi.kz/shop/p/massazher-plastik-118389063/,Снято с продажи,,Астана,900,900,0,1,900,1,0,0,0,0,0
135223146_155685739,135223146,Пятновыводитель BC395284,https://kaspi.kz/shop/p/pjatnovyvoditel-bc395284-135223146/,Снято с продажи,,Астана,800,0,0,0,0,0,0,0,0,0,0
109645230_363759565,109645230,Щетка-ролик для удаления шерсти животных для ковров и мебели,https://kaspi.kz/shop/p/schetka-rolik-dlja-udalenija-shersti-zhivotnyh-dlja-kovrov-i-mebeli-109645230/,Опубликовано,,Астана,1450,1115,0,0,1100,0,0,0,0,0,0
120933954_567327764,120933954,Мини-сумка Куроми kuromi r45 плюш фиолетовый,https://kaspi.kz/shop/p/mini-sumka-kuromi-kuromi-r45-pljush-fioletovyi-120933954/,Снято с продажи,,Астана,1171,1172,0,1,1000,1,0,0,0,0,0
115711247_762093955,115711247,Накидка 595405 2XL серебристый,https://kaspi.kz/shop/p/nakidka-595405-2xl-serebristyi-115711247/,Снято с продажи,,Астана,1879,1479,0,1,1800,1,0,0,0,0,0
131755572_789399393,131755572,YZM-8025 утюжок 38 мм,https://kaspi.kz/shop/p/yzm-8025-utjuzhok-38-mm-131755572/,Снято с продажи,,Астана,7850,4999,0,0,4999,1,0,0,1,0,0
108532136_8745128456,108532136,WORK LIGHT S608 черный,https://kaspi.kz/shop/p/work-light-s608-chernyi-108532136/,Опубликовано,,Астана,3359,4270,0,0,3950,0,0,0,0,0,0
118442296_8456132132,118442296,Массажер пластик,https://kaspi.kz/shop/p/massazher-plastik-118442296/,Снято с продажи,,Астана,969,967,0,1,969,1,0,0,0,0,0
119791328_5413135,119791328,Массажер для ног напольный 3D-массаж,https://kaspi.kz/shop/p/massazher-dlja-nog-napol-nyi-3d-massazh-119791328/,Снято с продажи,,Астана,786,649,0,0,745,0,0,0,0,0,0
113351577_938095465,113351577,Набор 861224 9 шт,https://kaspi.kz/shop/p/nabor-861224-9-sht-113351577/,Снято с продажи,,Астана,3898,2919,0,1,3850,1,0,0,0,0,0
