Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,Остатки,,,,,,,,,,,,
,,отчет создан:,2026-06-27 12:08:47.143000,,,,,,,,,,
,,исполнитель:,Валерия  (admin@gorokhovavaleriia ),,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,склад:,Основной склад,,,,,,,,,,
,,доступно:,Любое,,,,,,,,,,
,,,,,,,,,,,,,
,Код,Артикул,Наименование,Ед.изм.,Доступно,Резерв,Ожидание,Остаток,Себестоимость,"Сумма
себестоимости",Цена продажи,Сумма продажи,Дней на складе
,Лера,,,,,,,,,,,,
,108480216_042314349,,Свеча фиолетовая,,0,0,0,0,0,0,587,0,0
,658746071,,Спортивная сумка на магните,,1,0,0,1,4162.77,4162.77,8000,8000,479.67
,112479812_435864402,,Тренажер,,0,0,0,0,0,0,4299,0,0
,725825283,,Шлейка рюкзак,,9,0,0,9,724,6516,2500,22500,636.99
,115913831_23123123,,Шлейка Petman розовый M,шт,0,0,0,0,0,0,721,0,0
,093812063,,глаза тент,шт,20,0,20,0,0,0,3950,0,0
,117587765_664251618,117587765_664251618,Зеркало,шт,0,2,0,2,1773.72,3547.44,3800,7600,292.87
,563915462,,Микрофон петелька type-c,,2,0,0,2,4559.67,9119.34,4900,9800,228.81
,120577875_030736589,,Свеча фиолетовая,,0,0,0,0,0,0,587,0,0
,23465332201,,"клеенка 1,5 метра",шт,0,1,0,1,508.77,508.77,650,650,126.89
,129878093_7845115311,129878093,автозарядник,шт,0,2,0,2,1661.76,3323.52,2200,4400,97.37
,121241629_456313132,,массажер для стол,шт,-1,2,0,1,460.5,460.5,786,786,190.99
,997217641,,Подушки в самолет,,0,3,0,3,2122.45,6367.35,2988,8964,77.54
,114800921_084111191,,Свеча лаванда,,0,1,0,1,297.76,297.76,530,530,149.5
,23465332242,,Led лента,,53,4,0,57,6354.454210526315,362203.89,8600,490200,181.41
,119220282_1356487956317,,лоток для золота,шт,30,0,30,0,0,0,2400,0,0
,114800954_880979025,,Свеча розовая,,0,0,0,0,0,0,800,0,0
,109268240_454683213,,держатель фена,шт,7,7,0,14,355.62,4978.68,639,8946,92.47
,11779264755,,Накладка на углы бежевый рулон,,41,1,20,22,511.44,11251.68,1899,41778,44.56
,108532136_8745128456,,фонарь ремонтный,шт,13,16,0,29,2478.106551724138,71865.09,3361,97469,91.47
,110559231_54123213123,,палочки для воздушных шариков,шт,50,0,0,50,879.63,43981.5,1596,79800,1.57
,103964855_607083556,,Kids Zone защита острые углы 00329 серый,,95,1,10,86,66.83,5747.38,383,32938,44.56
,23465332268,,Конструктор программируемый,,0,0,0,0,0,0,9200,0,0
,*120405666_252897457,,Держатель туалетной бумаги без скотча,,22,0,0,22,1438.88,31655.36,1700,37400,225.75
,117473829_834474766,,Accessories наклейка Hyundai 9x9 см,,11,0,0,11,361.01,3971.11,629,6919,37.43
,117473824_040714795,117473824_040714795,Наклейки защитные chevrolet,шт,236,1,200,37,391.38513513513516,14481.25,629,23273,27.1
,117473868_542998498,,Accessories наклейка Toyota 9x9 см,,9,0,10,-1,0,0,650,-650,0
,101902634_123126575,,металлоискатель,шт,25,2,0,27,1945.45,52527.15,3426,92502,22.58
,23465332267,116304413,Видеоняня маленькая,,0,0,0,0,0,0,7400,0,0
,105258599_713297371,133152467,Коктейльный набор,,32,1,24,9,7750.8,69757.2,13500,121500,32.48
,109645230_363759565,109645230_363759565,Щетка для одежды,шт,15,2,0,17,693.17,11783.89,1450,24650,36.46
,11779264754,,Накладка на углы серый рулон,,19,1,0,20,511.44,10228.8,2408,48160,44.56
,Лера/Добавить позже,,,,,,,,,,,,
,571199732,,держатель очков toyota,шт,13,1,0,14,516.06,7224.84,1499,20986,44.56
,142845353_54445615,,гольфы белые,шт,2,1,0,3,129.65,388.95,700,2100,180.37
,109311201_1356487956314,,Крючки,шт,0,50,0,50,8.89,444.5,60,3000,387.96
,23465332191,,Автовизитки,шт,0,0,0,0,0,0,749,0,0
,11779264746,,Зарядник беспроводной,,0,2,0,2,658.02,1316.04,1449,2898,210.3
,119415106_845618465,,щетка для окон,шт,0,0,0,0,0,0,997,0,0
,110644491_8541311313,108670607,мини сейф серый пластик,шт,101,28,100,29,785.17,22769.93,1300,37700,14.65
,117348303_5123123123,,гольфы черные,шт,0,0,0,0,0,0,319,0,0
,124208362_86413513,,переходник,шт,114,3,0,117,182.88,21396.96,295,34515,190.05
,139031202_561132123,146178205,колготки ажурные черные,шт,55,0,0,55,279.82,15390.1,690,37950,14.68
,132452764_546153123,,кассеты best wishes for you 5 60s,шт,0,1,0,1,602.35,602.35,1183,1183,50.05
,118697087_281433030,,Чехол для одежды,,41,0,0,41,1815.83,74449.03,4489,184049,31.62
,119220282_1356487956341,,держатель очков hyundai,шт,19,0,0,19,590.61,11221.59,1376,26144,1.58
,135459804_86545153,,тренажер пальцев ног,шт,26,0,0,26,371.28,9653.28,650,16900,63.64
,Лера/ИП,,,,,,,,,,,,
,129357386_698647860,,Свеча красная,,9,6,0,15,297.76,4466.4,715,10725,149.5
,139950673_54513131,,зажим простыней угол маленький,шт,0,0,0,0,0,0,876,0,0
,119805761_593072707,107401301,Вешалка на подголовник,,60,9,0,69,1410.73,97340.37,2900,200100,36.48
,123582478_89456184651,,ночник в розетку,шт,105,7,0,112,223.70821428571426,25055.32,618,69216,6.85
,122464164_1235496654,,Разделочная доска 39*28,шт,71,1,0,72,1803.9427777777778,129883.88,2075,149400,118.37
,11779264744,,Кухонные ножницы,,0,2,0,2,238.01,476.02,674,1348,249.28
,104701785_8745146531,,лампа для блога,шт,114,6,0,120,777.18,93261.6,1699,203880,1.57
,131093290_8545313123,128297075,фиксатор одеяла кнопка моно,шт,57,2,0,59,143.12,8444.08,490,28910,92.47
,120002781_845184651,,подушка для новорожденных бежевая с ушками,шт,120,7,100,27,929.36,25092.72,1797,48519,53.6
,23465332200,,салфетки для очков,шт,32,7,0,39,300.1,11703.9,532,20748,56.67
,113920220_427837934,,Набор игрушек самолет,шт,0,1,0,1,1593.96,1593.96,2303,2303,127.56
,132322764_56464896,132322764,Фен щетка,,81,8,0,89,3146.067752808989,280000.03,4508,401212,4.73
,118313298_84513211231,,Обруч,шт,50,2,0,52,1765.0067307692307,91780.35,2700,140400,43.83
,114868429_777713757,,Скребок,,41,2,0,43,423.37,18204.91,635,27305,69.76
,132335072_693607317,101495499_448809935,пакет для вакууматора 17*500,шт,-1,0,0,-1,0,0,850,-850,0
,119576164_564321546,119576164_564321546,Пакеты для вакууматора,,0,0,0,0,0,0,1350,0,0
,108479520_45651153132,,кулинарный термометр,шт,139,3,0,142,319.4,45354.8,608,86336,32.5
,132247235_652323233,,Держатель штор,шт,94,2,40,56,1695.31,94937.36,3508,196448,38.76
,11779264753,,Подвесной органайзер,,0,0,0,0,0,0,910,0,0
,112806580_84561215631,,коврик в палатку,шт,73,12,40,45,990.7444444444444,44583.5,2500,112500,3.34
,550235151,,Набор для создания отпечатка,,35,3,30,8,266.11375,2128.91,1505,12040,34.79
,103497148_272828929,,Сушилка белья,,21,0,0,21,2112.19,44355.99,3999,83979,14.68
,108254144_4835708590,,Ершик и щетка,шт,0,4,0,4,2080.43,8321.72,2700,10800,149.49
,112899949_4548631231,,диспенсер жидкого мыла,шт,0,0,0,0,0,0,1511,0,0
,101495525_031518789,122973543_172095040,вакпак 22,шт,-1,0,0,-1,0,0,1268,-1268,0
,114223613_958865368,114223613_958865368,брелок Cobalt,шт,54,0,0,54,724.1948148148148,39106.52,2015,108810,37.71
,122941567_595114419,,Органайзер на козырек черный,,50,1,50,1,480.28,480.28,1150,1150,77.54
,114161595_264725129,,Рейлинг,,20,3,0,23,3294.6852173913044,75777.76,7000,161000,17.02
,119220282_1356487956320,,Горшок дорожный,,17,3,0,20,2530.96,50619.2,5200,104000,1.56
,106256078_329837287,23465332198,органайзер на козырек серый,,41,2,0,43,556.0241860465117,23909.04,2449,105307,31.33
,320410749,,Разделитель для ящиков большой,,3,3,0,6,1505.95,9035.7,3999,23994,241.45
,137923334_56451312312,,зажим простыней угол большой,шт,24,0,0,24,720.57,17293.68,1749,41976,271.5
,150679626_77469520325,,перчатка фонарь,шт,28,0,10,18,764.83,13766.94,1938,34884,32.51
,107066645_897498087,118215266,Разделитель ящиков маленький,шт,39,1,40,0,0,0,3500,0,0
,11779264752,,Толщиномеры,,6,4,0,10,1211.61,12116.1,1914,19140,69.07
,132159066_410956727,,чехлы черные без подушек,шт,7,4,0,11,13411.65,147528.15,19000,209000,38.08
,677105951,,Пианино,,13,0,0,13,14275.84923076923,185586.04,19633,255229,107.08
,Маркетплейсы/Люда,,,,,,,,,,,,
,136965514_559871017,,форма для льда 84,шт,1,0,0,1,0,0,6400,6400,358.69
,122837230_178366611,,форма для льда мишки,шт,1,1,0,2,0,0,1900,3800,358.69
,136963560_255745221,,перчатка фонарик,шт,1,0,0,1,0,0,1400,1400,358.69
,137151894_356907081,,мини фотоаппарат,шт,2,0,0,2,0,0,16500,33000,358.69
,135030726_968598259,,Колготки черные,шт,4,0,0,4,0,0,1450,5800,358.69
,134250003_302526023,,Бокал для виски,шт,2,0,0,2,0,0,2980,5960,358.69
,117721659_089241152,,тарелка сердечко,шт,2,0,0,2,0,0,2600,5200,358.69
,136288358_551955252,,hello kitty заколка,шт,5,0,0,5,0,0,900,4500,358.69
,136970124_839041034,,Ершик для чистки емкостей,шт,3,0,0,3,0,0,2300,6900,358.69
,120525833_985635799,,тарелка овал,шт,1,0,0,1,0,0,2600,2600,358.69
,134773551_172152514,,венчик,шт,1,0,0,1,0,0,1500,1500,358.69
,,,,,,,,,,,,,
,136398979_455123123,,совы,шт,0,0,0,0,0,0,1850,0,0
,147129369_7848584952,,гортензия,шт,33,2,0,35,352.26,12329.1,1100,38500,44.61
,937390163,,Звезда с проекцией серебро,шт,2,0,0,2,4754.87,9509.74,7500,15000,200.59
,987297219,,гирлянда 3 м,шт,0,0,0,0,0,0,4999,0,0
,143552554_78684394375,,стеклоочиститель,шт,18,0,0,18,6044.68,108804.24,11000,198000,44.49
,163990654_5151984566,,Садовая гирлянда цветочки,шт,10,0,10,0,0,0,4500,0,0
,119499054_1565613864,,Ремень для йоги черно-розовый,шт,20,0,0,20,367.74,7354.8,799,15980,1.62
,110035827_12564612545,,коврик для пикника волны,шт,30,0,30,0,0,0,6198,0,0
,121323446_4189489456,,Пояс жемчужный,шт,100,0,100,0,0,0,1270,0,0
,150978287_578346573,,Портативный квадратный свет черный,шт,10,0,10,0,0,0,3498,0,0
,119375875_5616516513,,короб для роутера,шт,5,0,1,4,1729.01,6916.04,4994,19976,32.5
,124271429_021107122,,тыквы 20 штук,шт,8,0,0,8,2305.44,18443.52,4999,39992,272
,115141741_154546845,,спиртомер,шт,0,2,0,2,176.34,352.68,495,990,14.68
,110060941_5783898321,,ключ круглый с цифрами,шт,0,1,0,1,239.1,239.1,392,392,36.48
,131951651_48948465,,Перчатки ажурные белые,шт,30,0,30,0,0,0,657,0,0
,117599254_524375298,,иглы для валяния,шт,20,0,0,20,411.93,8238.6,1599,31980,8.63
,110897754_2165165165,,лента для горячей фиксации для подгибки,шт,5,0,5,0,0,0,8989,0,0
,119398184_5892739324,,органайзер поливилинхлорид черный,шт,0,1,0,1,107.53,107.53,291,291,100.38
,146251669_5673489393,,набор цветных прищепок 5 шт,шт,19,9,0,28,118.23,3310.44,494,13832,32.49
,154629606_77845387428,,оптический экран для рисования большой,шт,29,0,0,29,581.64,16867.56,1400,40600,44.47
,103252074_165456452,,открывалка морской конек,шт,0,0,0,0,0,0,488,0,0
,111972918_6578434356,,шлейка жилетик,шт,2,1,0,3,1278.86,3836.58,3290,9870,44.59
,112122222_5678865449,,фламинго 3 штуки,шт,12,0,12,0,0,0,3120,0,0
,122931221_6757348923,,колпачок 4 шт неон зеленый,шт,-1,7,0,6,70.11,420.66,226,1356,44.49
,123283507_6745438895,,серебристые колпачки 4 шт + ключ LEXUS,шт,5,0,0,5,260.04,1300.2,715,3575,36.48
,108000568_675489335556,,термометр в аквариум,шт,8,5,0,13,91.84,1193.92,379,4927,44.5
,104918689_88299290,,Ведро складное 3л,,0,0,0,0,0,0,1000,0,0
,116594038_7574589366,,сушилка для посуды,шт,10,0,10,0,0,0,2499,0,0
,124339073_5475784958,,таймер яблоко,шт,10,0,0,10,1081.25,10812.5,2283,22830,37.43
,123530155_1948456564,,Декоративные бабочки золото 12 шт,шт,50,0,50,0,0,0,399,0,0
,102917350_6545615285,,заглушки бело-голубые,шт,77,2,0,79,181.94,14373.26,377,29783,21.97
,263398996,,колокольчик звонок,шт,20,0,0,20,436.4,8728,999,19980,272
,113542742_8659450302,,ночник галактика,шт,15,0,0,15,900.14,13502.1,2500,37500,106.81
,136874461_15413341416,,Открывалка для банок,шт,4,0,0,4,203.11,812.44,744,2976,14.68
,142668752 _4708190908254,,Гольфы длинные черные,,9,0,0,9,129.65,1166.85,0,0,251.69
,121129480_46765678754,,терморюкзак,шт,40,0,40,0,0,0,4999,0,0
,151644040_578843934,,черные колпачки 4 шт VW,шт,5,0,0,5,250.55,1252.75,2849,14245,36.48
,108588288_15648654623,,Фильтр-пакеты для заваривания,шт,10,0,0,10,546.76,5467.6,475,4750,14.68
,114865618_564556792,,перчатки ROCKBROS,шт,5,0,0,5,864.83,4324.15,1397,6985,56.6
,435424492,,Гольфы длинные белые,,15,0,0,15,129.65,1944.75,1500,22500,251.69
,144037685_687959834,,ершик для посуды силикон,шт,5,1,0,6,102.99,617.94,198,1188,56.67
,161352600_2564566125,,Набор кистей для маникюра коричневый 9 шт,шт,10,0,10,0,0,0,1449,0,0
,129896152_8932423784651,,подставка для фритюрницы,шт,41,2,0,43,100.08,4303.44,0,0,53.61
,156498344_6578923984,,чайная пара,шт,5,2,0,7,1969.98,13789.86,2798,19586,44.57
,112209123_15645645613,,Ремень олива,шт,40,0,0,40,286.31,11452.4,1288,51520,1.62
,364840260,,пароочиститель Jibekki,шт,10,0,0,10,0,0,44500,445000,14.97
,120430954_4589464165,,розовые сухоцветов 10 см,шт,20,0,0,20,175.81,3516.2,1249,24980,14.68
,518374162,,диван серый 200 см,шт,1,0,0,1,62877.93,62877.93,100000,100000,235.73
,117007007_64651611541,,светильник медуза с цветной ножкой,шт,47,0,50,-3,0,0,2997,-8991,0
,142154028_5734735456,,Доска для рисования cветовая,шт,93,3,1,95,913.26,86759.7,1188,112860,37.43
,105967272_5316516578,,цепь для сумок с карабинами,шт,25,0,0,25,517.27,12931.75,1084,27100,1.57
,;123588456_94280989,,чехол для колес S,шт,0,1,0,1,2513.07,2513.07,3900,3900,92.47
,140777998_7754595893,,лавовая лампа оранжевая,шт,3,0,0,3,3506.26,10518.78,7499,22497,36.47
,138020114_764275287,,настолка магнитный бой,шт,5,0,0,5,1856.12,9280.6,3800,19000,1.57
,*118902877_3132123312,,держатель туалетной бумаги черный без скотча,шт,0,0,0,0,0,0,1800,0,0
,119398188_7597848005,,органайзер поливинилхлорид белый,шт,0,0,0,0,0,0,269,0,0
,152829299_5615121321,,Подушка жилетик серая,шт,0,2,0,2,1733.02,3466.04,4969,9938,14.68
,108993022_56454413144,,мангал складной,шт,20,0,20,0,0,0,6093,0,0
,128004755_5616512321,,органайзер для рукоделия,шт,50,0,50,0,0,0,2529,0,0
,109889069_7593029475,,зубной ерщик 40 шт,шт,0,0,0,0,0,0,400,0,0
,108714404_7841561654,,Набор кистей розовый 15 шт,шт,20,0,20,0,0,0,664,0,0
,117476778_23132312,,Наклейка Volkswagen,шт,1,0,0,1,371.72,371.72,647,647,200.59
,109376889_4894515654,,коричневый жилетик кобура,шт,20,0,20,0,0,0,3297,0,0
,123223994_678467990,,эпилятор механический,шт,0,0,0,0,0,0,168,0,0
,119798345_789561215,,Лупа очки,шт,25,2,10,17,2475.91,42090.47,4191,71247,14.68
,123942421_1273738,105707699,Кисть детейлинга,,0,1,0,1,100,100,250,250,312.95
,703839519,,тыквы 5 штук,шт,7,0,0,7,590.18,4131.26,2025,14175,272
,108102850_23123123,,Гирлянда 3*3 теплый белый,шт,-1,0,0,-1,0,0,1500,-1500,0
,129529322_18949526588,,подсумок хаки,шт,10,0,10,0,0,0,1497,0,0
,110248356_4758893532,,щетка для тела,шт,0,0,0,0,0,0,498,0,0
,142668752 _4708190908282,876994216,"гирлянда цветная 1,5",шт,13,0,0,13,231.67,3011.71,1500,19500,200.59
,120175000_155624893,,пепельница унитаз белая,шт,10,0,0,10,331.52,3315.2,780,7800,1.58
,137221432_287599000129,,LiXiang силиконовая защита на экран,шт,10,0,0,10,820.5,8205,5400,54000,144.84
,116111923_6537873543,,Подставка для наушников настольный белый,шт,20,0,20,0,0,0,1291,0,0
,119170100_564154156,,слипоны 37,шт,4,0,4,0,0,0,2985,0,0
,124214213_5677485356,,держатель проводов черный,шт,42,0,0,42,46.11,1936.62,242,10164,44.49
,120529319_5734957034,,ночник млечный путь,шт,0,0,0,0,0,0,2900,0,0
,132076727_57840332334,,парные футболки белые,шт,20,0,20,0,0,0,6998,0,0
,138955082_4545612336,,часы электронные белые,шт,49,1,0,50,419.23,20961.5,989,49450,1.62
,124544677_41544554456,,Набор бабочек 3D разноцветный,шт,50,0,50,0,0,0,499,0,0
,110897754_5645456132,,художественный набор,шт,3,0,0,3,4946.08,14838.24,8989,26967,8.52
,129763689_545415615,,Писсуар Bıg Joy kva,шт,0,0,0,0,0,0,1598,0,0
,106958088_45123123,,Гирлянда 3*3 холодный белый,шт,0,0,0,0,0,0,1500,0,0
,113474553_451451516,,декоративный светильник Rose of love,шт,43,1,0,44,5483.375,241268.5,7499,329956,29.22
,114781250_854598045,,лавовая лампа красная,шт,5,0,0,5,3506.26,17531.3,7568,37840,36.47
,104801620_4708190908249,,кассета в ретро стиле 11 60s,шт,5,0,0,5,741.12,3705.6,1150,5750,258.93
,109216448_213123123,,коврик для темпера,шт,0,0,0,0,0,0,1375,0,0
,136406551_8785492325,,очки Minecraft,шт,4,0,0,4,134.14,536.56,599,2396,44.49
,106054081_5454648452,,электрический штопор,шт,0,0,0,0,0,0,4899,0,0
,103647563_212156485,,поджопник,шт,36,3,0,39,2191.1364102564103,85454.32,4245,165555,11.58
,131908431_346795422,,настольная игра найди пару животные,шт,50,0,50,0,0,0,1614,0,0
,116264896_65374374342,,уф фонарик,шт,38,1,0,39,1300.49,50719.11,1889,73671,44.61
,131556007_7574756594,,спрунки плющ красный рэдди,шт,5,0,0,5,386.58,1932.9,1789,8945,37.46
,129529221_0809808240,,ножницы золотые с узором,шт,0,1,0,1,534.24,534.24,900,900,151.65
,119220282_1356487956324,,крючок черный круглый,шт,19,0,0,19,439.97,8359.43,0,0,228.89
,145058144_56783847462,,черные колпачки 4 шт CHANGAN,шт,3,0,0,3,250.55,751.65,2849,8547,36.48
,129273689_745674902203,,ланчбокс пластиковый набор,шт,35,1,0,36,1875.82,67529.52,2450,88200,179.12
,165448733_854894563,,дыхательный тренажер голубой,шт,0,0,0,0,0,0,2990,0,0
,122358637_6573948569,,кондитерский набор,шт,0,0,0,0,0,0,669,0,0
,115421389_15646512321,,альбом 3 слота,шт,5,0,5,0,0,0,1149,0,0
,119168195_6541419656,,слипоны 40,шт,4,1,4,1,2545.89,2545.89,2882,2882,22.58
,112564591_7857894975,,циновка для роллов,шт,0,1,0,1,351.27,351.27,966,966,44.59
,106427606_3458962189,,каподастр,шт,93,2,0,95,371.58,35300.1,893,84835,8.63
,112698141_12536454,117000581,крючок черный самоклеющийся,шт,0,0,0,0,0,0,227,0,0
,151223563_396654467,,Бусы жемчужные,шт,1,0,0,1,952.74,952.74,4500,4500,176.06
,107103546_4886223654,,кофедома,шт,0,0,0,0,0,0,11777,0,0
,139817817_498498156,139817817_498498156,стол гриль с крышкой,шт,0,0,0,0,0,0,17910,0,0
,120912860_46786543335,,термосумка,шт,40,0,40,0,0,0,14495,0,0
,116304446_5574200219,,панда,шт,0,0,0,0,0,0,1570,0,0
,111973614_756743597,,Аппарат холодного фонтана,шт,10,0,10,0,0,0,20500,0,0
,121662595_654198652,,светильник котик,шт,0,0,0,0,0,0,2371,0,0
,119818035_189451561,,Сотуар для телефона,шт,100,0,100,0,0,0,798,0,0
,115743853_5793463302,,парные фенечки черные,шт,0,0,0,0,0,0,371,0,0
,161737894_57543652443,,набор тряпок 25*25,шт,7,0,0,7,458.02,3206.14,1500,10500,44.61
,119135600_1564165414,,Кисть закругленная синтетика 1 шт,шт,20,0,20,0,0,0,460,0,0
,135842201_35774477579,,Ваза прозрачная 18,шт,0,0,0,0,0,0,1300,0,0
,142668752 _4708190908291,,колготки теплые черные с закрытым носком,шт,4,0,0,4,1305.24,5220.96,1200,4800,211.71
,119220282_1356487956329,,оплетки,шт,4,0,0,4,2313.98,9255.92,0,0,312.95
,116848846_6756838244,,лопатка для простыней зеленая,шт,7,0,0,7,419.57,2936.99,1396,9772,56.61
,137022529_4955629848,,Рюкзак охотничий,шт,5,0,5,0,0,0,4900,0,0
,886408088,,Носки капрон черные,,13,0,0,13,129.65,1685.45,700,9100,251.69
,119469033_4744747492,,футляр только для зубной щетки,шт,0,7,0,7,357.29,2501.03,1500,10500,65.32
,00008,,футляр только для зубной щетки (коричневый),шт,0,0,0,0,0,0,1500,0,0
,121889104_8546513215,,подсумок черный,шт,20,0,20,0,0,0,1600,0,0
,131131561_689458574,,монетница черная,шт,6,1,0,7,425.4,2977.8,1695,11865,49.5
,113844038,,Носки капрон белые,,16,0,0,16,129.65,2074.4,700,11200,251.69
,115956492_5456656449,,пояс для танца живота,шт,100,0,100,0,0,0,1270,0,0
,128999593_4194561651,,декоративные свечи 24 шт,шт,80,0,80,0,0,0,1727,0,0
,137990014_5154556562,,сумка для инструментов,шт,12,1,0,13,2395.01,31135.13,3757,48841,22.58
,123923683_1564561256,,Настольный звонок красный,шт,100,0,0,100,151.87,15187,498,49800,1.62
,120944583_6754899302,,яйцерезка,шт,5,0,0,5,180.71,903.55,900,4500,32.49
,123968911_68572824774,,серебристые колпачки 4 шт + ключ HYUNDAI,шт,8,0,0,8,260.04,2080.32,879,7032,36.48
,129896152_8932423784642,,переходник плоский с узким входом,шт,0,0,0,0,0,0,0,0,0
,108539357_080808800,,переходник плоский с широким входом,шт,63,19,0,82,53.47,4384.54,149,12218,144.8
,155101484_12654564561,,фритюрница без подставки,шт,20,3,0,23,1466.88,33738.24,2478,56994,36.49
,139954545_564845616,,"Чехол для бутылки 2 шт (кола, спрайт)",шт,5,0,5,0,0,0,1998,0,0
,117423487_159456132,,Шнурок для очков черный клевер,шт,50,0,50,0,0,0,710,0,0
